  3.105659 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.249992 seconds (35 allocations: 1.865 GiB, 3.70% gc time)
  3.104764 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.534026 seconds (35 allocations: 1.865 GiB, 22.39% gc time)
  2.918920 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.048375 seconds (35 allocations: 1.865 GiB, 2.75% gc time)
  3.172074 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.275045 seconds (35 allocations: 1.865 GiB, 16.30% gc time)
  3.163847 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.261364 seconds (35 allocations: 1.865 GiB, 3.83% gc time)
  3.153758 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.938607 seconds (35 allocations: 1.865 GiB, 12.79% gc time)
  3.039160 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.194054 seconds (35 allocations: 1.865 GiB, 3.44% gc time)
  3.146365 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.456711 seconds (35 allocations: 1.865 GiB, 20.47% gc time)
  3.042332 seconds (35 allocations: 1.865 GiB, 0.08% gc time)
  3.221101 seconds (35 allocations: 1.865 GiB, 3.43% gc time)
  3.150193 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.547232 seconds (35 allocations: 1.865 GiB, 15.40% gc time)
  3.049057 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.179506 seconds (35 allocations: 1.865 GiB, 3.50% gc time)
  3.217693 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.277349 seconds (35 allocations: 1.865 GiB, 16.42% gc time)
  3.122974 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.255746 seconds (35 allocations: 1.865 GiB, 3.68% gc time)
  3.147538 seconds (35 allocations: 1.865 GiB, 0.06% gc time)
  3.285464 seconds (35 allocations: 1.865 GiB, 16.53% gc time)
  3.046378 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.329858 seconds (35 allocations: 1.865 GiB, 3.41% gc time)
  3.114273 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.273282 seconds (35 allocations: 1.865 GiB, 16.43% gc time)
  3.077714 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.195688 seconds (35 allocations: 1.865 GiB, 3.55% gc time)
  3.230552 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.438878 seconds (35 allocations: 1.865 GiB, 20.20% gc time)
  3.018602 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.196413 seconds (35 allocations: 1.865 GiB, 3.58% gc time)
  3.145618 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.271656 seconds (35 allocations: 1.865 GiB, 16.52% gc time)
  3.052075 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.221838 seconds (35 allocations: 1.865 GiB, 3.54% gc time)
  3.123282 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.323498 seconds (35 allocations: 1.865 GiB, 15.44% gc time)
  3.122048 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.327191 seconds (35 allocations: 1.865 GiB, 3.55% gc time)
  3.113066 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.326756 seconds (35 allocations: 1.865 GiB, 17.44% gc time)
  3.094189 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.238181 seconds (35 allocations: 1.865 GiB, 3.64% gc time)
  3.153851 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.469808 seconds (35 allocations: 1.865 GiB, 18.91% gc time)
  3.036799 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.203567 seconds (35 allocations: 1.865 GiB, 3.56% gc time)
  3.158930 seconds (35 allocations: 1.865 GiB, 0.06% gc time)
  4.375073 seconds (35 allocations: 1.865 GiB, 12.31% gc time)
  4.157422 seconds (35 allocations: 1.865 GiB, 0.03% gc time)
  4.298147 seconds (35 allocations: 1.865 GiB, 2.64% gc time)
  4.242179 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.518964 seconds (35 allocations: 1.865 GiB, 15.46% gc time)
  3.075734 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.226851 seconds (35 allocations: 1.865 GiB, 3.81% gc time)
  3.165843 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.390502 seconds (35 allocations: 1.865 GiB, 18.79% gc time)
  3.082123 seconds (35 allocations: 1.865 GiB, 0.08% gc time)
  3.234517 seconds (35 allocations: 1.865 GiB, 3.47% gc time)
  3.159334 seconds (35 allocations: 1.865 GiB, 0.06% gc time)
  3.548483 seconds (35 allocations: 1.865 GiB, 15.42% gc time)
  3.090351 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
